# file	surface_cmp	score_literals	score_additions
src/analysis/adjective_candidates_hiragana.cpp	0	3	0
src/analysis/adjective_candidates_internal.cpp	0	0	0
src/analysis/adjective_candidates_kanji.cpp	0	2	0
src/analysis/adjective_candidates_na.cpp	0	3	0
src/analysis/adjective_candidates_stem.cpp	0	4	0
src/analysis/analyzer.cpp	0	0	0
src/analysis/bigram_table.cpp	0	1	0
src/analysis/bigram_table_aux_noun.cpp	0	1	0
src/analysis/bigram_table_particle_lexical.cpp	0	0	0
src/analysis/bigram_table_verb_adj.cpp	0	0	0
src/analysis/compound_verb_emit.cpp	0	4	0
src/analysis/compound_verb_forms.cpp	0	0	0
src/analysis/compound_verb_match.cpp	0	3	0
src/analysis/compound_verb_verify.cpp	0	0	0
src/analysis/compound_verb_voice.cpp	0	0	0
src/analysis/join_compound_verb.cpp	0	0	0
src/analysis/join_compound_verb_hiragana.cpp	0	2	0
src/analysis/join_compound_verb_lexicon.cpp	0	0	0
src/analysis/join_noun.cpp	0	0	0
src/analysis/join_te_aux.cpp	0	2	0
src/analysis/scorer.cpp	0	170	0
src/analysis/scorer_connection_cost.cpp	45	4	74
src/analysis/scorer_connection_rules_honorific.cpp	13	0	35
src/analysis/scorer_connection_rules_lexical.cpp	7	0	22
src/analysis/scorer_connection_rules_negative.cpp	8	0	23
src/analysis/scorer_connection_rules_particle.cpp	9	0	19
src/analysis/scorer_connection_rules_renyokei.cpp	10	0	64
src/analysis/scorer_connection_rules_suffix.cpp	6	0	59
src/analysis/scorer_connection_rules_verb.cpp	8	0	9
src/analysis/scorer_connection_rules_voice.cpp	5	0	21
src/analysis/scorer_options_loader.cpp	0	2	0
src/analysis/scorer_word_cost.cpp	5	1	22
src/analysis/split_candidates.cpp	0	7	0
src/analysis/suffix_candidates_compound.cpp	0	10	0
src/analysis/suffix_candidates_counter.cpp	0	6	0
src/analysis/suffix_candidates_counter_structural.cpp	0	0	0
src/analysis/suffix_candidates_counter_temporal.cpp	0	0	0
src/analysis/suffix_candidates_nominalized.cpp	0	6	0
src/analysis/suffix_candidates_prefix.cpp	0	2	0
src/analysis/suffix_candidates_suffix.cpp	0	10	0
src/analysis/tokenizer.cpp	0	0	0
src/analysis/tokenizer_dictionary.cpp	0	2	0
src/analysis/tokenizer_unknown.cpp	0	6	0
src/analysis/tokenizer_utils.cpp	0	0	0
src/analysis/unknown.cpp	0	20	0
src/analysis/unknown_same_type.cpp	0	13	0
src/analysis/unknown_speech.cpp	0	12	0
src/analysis/verb_candidates.cpp	0	7	0
src/analysis/verb_candidates_helpers.cpp	0	0	0
src/analysis/verb_candidates_helpers_dictionary.cpp	1	0	0
src/analysis/verb_candidates_hiragana.cpp	0	4	0
src/analysis/verb_candidates_hiragana_mizenkei.cpp	0	10	0
src/analysis/verb_candidates_hiragana_onbin.cpp	0	9	0
src/analysis/verb_candidates_hiragana_subsidiary.cpp	0	0	0
src/analysis/verb_candidates_hiragana_suru.cpp	0	0	0
src/analysis/verb_candidates_kanji.cpp	0	5	0
src/analysis/verb_candidates_kanji_ichidan.cpp	0	7	0
src/analysis/verb_candidates_kanji_inflection.cpp	2	0	0
src/analysis/verb_candidates_kanji_mizenkei.cpp	0	16	0
src/analysis/verb_candidates_kanji_onbin.cpp	0	10	0
src/analysis/verb_candidates_kanji_renyokei.cpp	0	11	0
